Episode,Reward,Mean_Reward
874,41.0,28.48
875,63.0,26.1
876,9.0,26.06
877,40.0,26.34
878,44.0,26.84
879,21.0,26.2
880,34.0,26.14
881,48.0,26.32
882,11.0,25.2
883,9.0,25.18
884,15.0,24.68
885,13.0,23.98
886,12.0,23.74
887,10.0,23.68
888,12.0,23.62
889,11.0,23.42
890,42.0,23.54
891,23.0,23.74
892,25.0,23.7
893,46.0,24.4
894,37.0,24.08
895,28.0,24.36
896,18.0,24.5
897,49.0,24.96
898,25.0,25.02
899,10.0,24.26
900,26.0,24.3
901,19.0,24.46
902,41.0,25.06
903,56.0,25.94
904,10.0,25.92
905,31.0,25.58
906,10.0,24.86
907,37.0,25.4
908,50.0,26.18
909,43.0,26.8
910,62.0,26.82
911,12.0,26.82
912,59.0,27.4
913,21.0,27.64
914,65.0,28.76
915,39.0,29.18
916,76.0,30.52
917,28.0,30.62
918,10.0,30.56
919,17.0,30.34
920,33.0,29.9
921,44.0,30.58
922,23.0,30.58
923,11.0,30.38
924,24.0,30.04
925,19.0,29.16
926,60.0,30.18
927,18.0,29.74
928,61.0,30.08
929,12.0,29.9
930,99.0,31.2
931,19.0,30.62
932,44.0,31.28
933,20.0,31.5
934,10.0,31.4
935,20.0,31.54
936,18.0,31.66
937,49.0,32.44
938,26.0,32.72
939,27.0,33.04
940,26.0,32.72
941,21.0,32.68
942,37.0,32.92
943,41.0,32.82
944,47.0,33.02
945,51.0,33.48
946,79.0,34.7
947,21.0,34.14
948,44.0,34.52
949,21.0,34.74
950,29.0,34.8
951,11.0,34.64
952,87.0,35.56
953,25.0,34.94
954,28.0,35.3
955,14.0,34.96
956,9.0,34.94
957,11.0,34.42
958,37.0,34.16
959,28.0,33.86
960,12.0,32.86
961,42.0,33.46
962,58.0,33.44
963,19.0,33.4
964,11.0,32.32
965,11.0,31.76
966,11.0,30.46
967,38.0,30.66
968,12.0,30.7
969,9.0,30.54
970,10.0,30.08
971,19.0,29.58
972,10.0,29.32
973,32.0,29.74
974,28.0,29.82
975,13.0,29.7
976,15.0,28.8
977,12.0,28.68
978,13.0,27.72
979,18.0,27.84
980,10.0,26.06
981,15.0,25.98
982,20.0,25.5
983,11.0,25.32
984,16.0,25.44
985,12.0,25.28
986,43.0,25.78
987,12.0,25.04
988,64.0,25.8
989,36.0,25.98
990,22.0,25.9
991,27.0,26.02
992,26.0,25.8
993,26.0,25.5
994,11.0,24.78
995,29.0,24.34
996,53.0,23.82
997,44.0,24.28
998,36.0,24.12
999,23.0,24.16
1000,10.0,23.78
